# Catálogo de curvas de carga de referência do bdgdcase.
# GERADO por scripts/fazer_curvas_referencia.py — não editar à mão.
# Origem: camada CRVCRG de Celesc-Dis_5697_2024-12-31_V11_20250926-1429.gdb
# Dado aberto da ANEEL (BDGD), redistribuído com atribuição.
# 61 códigos x 3 tipos de dia; 96 patamares de 15 min.
COD_ID,TIP_DIA,POT_01,POT_02,POT_03,POT_04,POT_05,POT_06,POT_07,POT_08,POT_09,POT_10,POT_11,POT_12,POT_13,POT_14,POT_15,POT_16,POT_17,POT_18,POT_19,POT_20,POT_21,POT_22,POT_23,POT_24,POT_25,POT_26,POT_27,POT_28,POT_29,POT_30,POT_31,POT_32,POT_33,POT_34,POT_35,POT_36,POT_37,POT_38,POT_39,POT_40,POT_41,POT_42,POT_43,POT_44,POT_45,POT_46,POT_47,POT_48,POT_49,POT_50,POT_51,POT_52,POT_53,POT_54,POT_55,POT_56,POT_57,POT_58,POT_59,POT_60,POT_61,POT_62,POT_63,POT_64,POT_65,POT_66,POT_67,POT_68,POT_69,POT_70,POT_71,POT_72,POT_73,POT_74,POT_75,POT_76,POT_77,POT_78,POT_79,POT_80,POT_81,POT_82,POT_83,POT_84,POT_85,POT_86,POT_87,POT_88,POT_89,POT_90,POT_91,POT_92,POT_93,POT_94,POT_95,POT_96
AT-2-Tipo1,DO,209108.256766,214251.233018,210271.475770,211187.269083,213167.375262,217389.329499,214047.118413,216306.137530,213592.744159,211271.841604,212852.959433,213429.329775,212579.226395,207877.615385,206318.451135,211139.311423,215325.421161,214343.976259,215187.923712,217017.931269,218352.822522,214343.718309,209543.528826,205461.571357,207114.378184,202459.595433,201678.120518,202547.043741,204770.054527,202950.717009,199485.802217,203391.531494,208832.791285,203507.493660,200644.210815,201376.881020,196651.294665,196548.742378,199380.262598,198265.342862,198204.728256,202053.489076,205010.295981,208681.214683,207721.472383,204279.117699,203949.597891,204557.023241,202323.133268,201680.651210,198495.743898,201231.509145,199393.731736,193850.818995,201573.814874,197614.892262,196199.754368,196718.839045,197375.344482,203384.807382,205155.249560,204876.869949,206765.567950,200442.330608,198884.839543,206634.975874,206365.885925,209501.322739,207937.633919,205244.346652,205471.268858,207463.645059,207532.057403,212983.530593,212597.701145,209820.688406,210310.659667,211653.240599,214866.483993,219418.073069,226315.540470,226169.725899,232290.375416,231709.292270,230286.614587,231931.313439,235370.353125,236684.353968,237710.089467,239247.094475,242650.073542,249556.767861,255718.243088,260704.727758,261834.361063,262772.466992
AT-2-Tipo1,DU,321355.244528,315942.871576,318526.255000,306173.995926,309537.362342,307918.099385,304244.249124,309870.409782,311553.058557,311804.534750,314245.896155,315830.182578,317284.706546,318579.110212,323389.711785,327010.633633,329016.559145,327534.689063,324919.529070,316528.060996,323218.750640,332500.593560,339869.965312,341221.326978,341899.514102,339242.134079,342589.368205,343920.477363,342660.614506,346961.546553,353658.360750,351006.223373,347216.424889,347846.504464,349110.278390,344080.078281,346309.140418,349082.897418,349308.909829,351249.846055,353084.608245,353542.820367,347230.057859,352759.320201,353061.187143,349712.370463,348263.361034,354933.303185,354355.810415,354421.448061,353751.156278,355395.761013,354513.689346,354863.412861,353105.069901,346074.218297,337718.824786,342869.403572,350710.850478,357067.718835,348863.298881,357400.048199,354571.888292,353813.165204,346819.364187,350204.356517,352306.023060,353705.711881,353701.368572,352057.454025,344636.318118,345248.156492,339410.446015,337923.929359,333750.549768,335069.249472,336178.605868,335618.698968,336026.502911,325962.676148,329390.474124,334145.878027,334435.335515,336482.400460,332512.441800,337636.964218,348026.249829,341930.921176,336937.907599,344710.593581,340348.590288,335458.634439,326523.660162,318088.142012,319279.955048,320563.971024
AT-2-Tipo1,SA,299005.500469,297149.673579,302155.995947,300331.370468,295055.264476,295336.167807,296765.081590,295596.884861,285732.522644,291024.328687,295817.731314,295574.443269,290649.984955,288014.788573,290358.397641,298179.511866,296695.783852,295001.558729,299168.611589,300875.622633,295993.715500,295990.027522,290927.925355,284415.008113,281814.045790,280826.779599,292496.358351,290680.231256,288627.773777,287148.981657,284391.590497,281132.979394,288888.306083,291657.831319,290515.370264,292992.408850,289552.344338,286989.262223,287061.613523,292214.053727,288187.189355,284964.792245,287389.031393,287976.528414,280057.999974,282607.386374,276957.881303,276955.329696,280335.846257,279479.600895,281994.355856,272760.854034,265421.240571,263128.740328,257338.987510,258847.938786,262522.060940,263158.997087,259258.974067,254977.489308,248987.919879,248204.614918,248631.813861,246262.845586,249315.885019,244852.057972,251583.660470,259109.858441,250651.379316,246986.044868,240422.994826,243564.064695,242036.541068,238952.593031,242129.862952,244029.356480,242352.720713,234564.393938,232942.802466,229571.791686,228668.951613,230136.592652,229961.981873,225320.114018,231449.397866,232191.061439,224147.985304,223131.936848,219958.689543,215404.454743,216583.990785,213600.039942,224319.950360,220374.514316,219490.420884,221475.518731
AT-2-Tipo2,DO,1595.800026,1742.203698,1991.089940,1830.045901,1610.440393,1654.361494,1961.809206,1917.888104,1566.519291,1420.115619,1449.396354,1420.115619,1756.844065,1625.080760,1464.036721,1449.396354,1420.115619,1712.922963,1683.642229,1464.036721,1551.878924,1727.563330,1991.089940,1712.922963,1464.036721,1478.677088,1522.598190,1712.922963,1566.519291,1420.115619,1478.677088,1712.922963,1669.001862,1478.677088,1449.396354,1742.203698,1756.844065,1478.677088,1420.115619,1654.361494,1786.124799,1625.080760,1434.755986,1698.282596,1800.765167,1566.519291,1478.677088,1610.440393,1903.247737,1654.361494,1449.396354,1493.317455,1844.686268,1756.844065,1712.922963,2078.932143,2298.537652,2181.414714,1976.449573,1932.528471,2239.976183,2137.493612,1581.159658,1566.519291,1873.967003,1844.686268,1507.957822,1595.800026,2108.212878,2239.976183,2020.370675,1903.247737,2239.976183,2196.055081,2005.730307,1917.888104,2035.011042,2313.178019,2166.774347,3001.275278,3806.495474,4187.145021,4567.794569,2928.073442,2635.266097,3015.915645,3015.915645,2298.537652,2181.414714,2357.099120,2474.222058,2342.458753,2430.300956,3030.556012,3850.416576,4143.223920
AT-2-Tipo2,DU,4567.794569,3777.214740,3542.968864,3294.082622,3191.600051,3147.678950,3089.117481,2283.897284,2093.572511,2064.291776,2078.932143,3030.556012,4260.346857,3616.170700,2737.748668,2664.546832,3250.161520,3074.477114,2342.458753,2005.730307,3821.135841,3557.609231,4406.750529,6075.752391,6500.323040,6192.875329,7115.218463,6778.490017,6939.534056,7495.868010,7876.517558,8125.403800,8564.614816,8257.167105,8506.053348,8798.860692,8930.623997,8579.255184,7510.508377,8476.772613,8711.018488,8140.044167,8740.299223,8271.807472,8608.535918,8520.693715,8066.842331,8432.851512,7774.034987,8564.614816,8989.185465,8901.343262,8959.904731,8842.781793,9208.790974,8842.781793,8432.851512,7583.710214,8110.763433,8257.167105,9150.229505,8901.343262,8140.044167,8022.921230,7261.622135,7920.438659,7305.543237,7364.104705,7012.735892,6280.717532,7115.218463,7159.139564,6676.007447,6471.042306,5387.655132,5329.093664,5885.427617,6222.156063,6192.875329,6500.323040,5929.348719,6763.849650,6441.761571,6500.323040,6573.524876,6646.726712,7612.990948,6646.726712,6676.007447,6778.490017,7056.656994,6968.814791,5416.935867,4494.592733,3499.047763,5387.655132
AT-2-Tipo2,SA,2020.370675,2020.370675,2049.651409,2049.651409,1873.967003,1830.045901,1873.967003,1888.607370,1712.922963,1683.642229,1669.001862,1669.001862,1669.001862,1698.282596,1654.361494,1742.203698,1683.642229,1683.642229,1727.563330,1669.001862,1815.405534,1800.765167,1771.484432,1873.967003,1859.326635,1830.045901,1815.405534,1771.484432,1771.484432,1756.844065,1786.124799,1698.282596,1595.800026,1625.080760,1625.080760,1625.080760,1669.001862,1625.080760,1654.361494,1639.721127,1727.563330,1712.922963,1654.361494,1683.642229,1669.001862,1625.080760,1595.800026,1595.800026,1625.080760,1551.878924,1625.080760,1595.800026,1727.563330,1712.922963,1625.080760,1654.361494,1610.440393,1683.642229,1698.282596,1712.922963,1698.282596,1727.563330,1669.001862,1610.440393,1698.282596,1639.721127,1654.361494,1639.721127,1610.440393,1595.800026,1610.440393,1551.878924,1507.957822,1507.957822,1507.957822,1566.519291,1507.957822,1566.519291,1537.238557,1551.878924,1566.519291,1551.878924,1581.159658,1566.519291,1507.957822,1683.642229,1639.721127,1639.721127,1625.080760,1595.800026,1625.080760,1639.721127,1639.721127,1654.361494,1639.721127,1493.317455
AT-2-Tipo3,DO,18273.555592,16861.913957,16783.678623,17129.961651,17598.345342,18035.004751,17216.053982,17395.077787,17306.953233,17361.206251,17563.612814,17314.158385,17457.968621,18840.988338,15190.492949,13525.315011,14629.460134,13305.890765,13362.200406,12915.146336,12541.712398,12455.330746,12370.078493,12549.970262,12568.577472,13210.742321,12460.475789,14460.266290,17017.589861,15970.594458,15574.868818,15746.757186,15879.283882,15838.214166,17029.124379,15910.833873,15502.067849,15704.558071,15863.165535,16007.233720,15771.297231,16947.769253,15897.246218,15773.026188,15962.709574,16014.055434,16674.391768,16109.970754,16921.298075,17301.382922,16424.132119,16367.609844,16512.235757,16155.495324,16192.720201,15547.564533,14200.755324,13465.341793,13380.967962,13308.135621,18948.615952,13998.014125,14672.997797,15135.434710,21910.780534,19038.002366,13971.950785,13960.890336,14025.332353,13728.258387,13797.695558,14120.219361,13954.016335,16674.743833,15042.848331,21871.390975,24794.538979,26412.968829,23941.929308,24758.419101,25201.781707,25808.248462,25830.993318,20555.445054,20081.919806,20541.456532,25074.250166,25854.972148,28331.508778,28870.657730,31312.716295,36051.433665,30470.065560,30322.595233,32522.836762,33319.311082
AT-2-Tipo3,DU,42942.828800,43677.032758,45071.639280,48486.201667,48145.321631,43626.851157,36430.012647,37864.583885,41404.415528,44689.034198,42375.159019,41828.118212,48478.672335,43850.486251,51153.063071,48817.126253,43865.109190,39303.017393,42776.730348,37545.343707,44308.879635,44461.735526,50594.634150,50931.219678,47177.258722,43227.814005,48006.332259,54176.786911,51243.017670,48897.285749,51957.132953,49254.315504,55656.711916,59164.125603,52158.145194,51571.355791,48625.588420,51186.380364,56548.195248,56935.969774,59633.129767,50292.809037,47280.846291,50979.595634,52647.440210,48016.604917,49507.649629,53944.782407,60309.497303,59821.896387,61636.869681,56485.314871,59444.209771,55250.270922,49721.214243,51409.795853,54765.486534,56710.800926,56344.213103,61058.721580,57317.386198,52192.985783,52796.144511,54319.112195,52448.080238,49928.859966,54299.724166,57749.315374,61189.428687,55858.783842,48443.214760,54586.588219,58962.008362,44421.986929,27796.901826,27979.202285,28522.851406,28580.830746,28280.549843,28133.257291,26717.927678,28524.883628,27827.057497,28464.143533,28358.959467,28729.813911,52079.453221,58759.912036,54981.271604,52265.260395,53673.304683,52125.755125,47751.495753,47982.409202,55350.473778,48097.691636
AT-2-Tipo3,SA,30584.072191,29389.477485,29472.097958,28444.630015,30087.910146,31122.607641,23982.183346,26328.741402,32273.138327,34761.694002,35885.617564,33570.623442,34800.679208,33193.581699,36650.050394,37099.182002,36806.162024,31867.725645,31601.800803,32967.356654,31031.889652,26491.162333,31194.979857,35434.669853,32240.350876,31161.777595,29985.103396,29186.555024,24058.090164,22799.158017,20926.989688,20498.016471,19624.791769,19452.687281,19176.887163,18584.217212,18292.591555,18589.090363,18909.484342,18860.704033,18835.916497,18306.308185,17963.904854,17541.666206,13690.472297,16785.208890,16930.908430,17157.921267,17071.776649,17005.539445,17105.954935,17288.251907,17247.834036,17272.883007,16892.393807,17240.144358,17175.681427,17082.795268,17316.246381,17123.387429,17001.663233,17203.895506,16832.685509,16732.416423,16961.691545,16619.591479,16761.794760,16733.859545,16627.762198,16519.681430,16833.131692,16843.529838,16686.592074,16633.531200,16926.516320,16960.133392,17110.713054,17060.405964,16950.394062,17167.364304,16958.700727,16963.423988,17146.822474,17064.421607,17100.032558,16899.274779,17368.822728,17608.210161,17588.299261,16152.473134,13500.977144,13607.213923,17081.798329,17179.829531,17090.425688,17016.258285
AT-3-Tipo1,DO,55267.585904,54435.477327,54509.845933,55227.180913,54898.670771,54373.991472,55374.161386,55247.090619,53353.326272,56866.803724,56968.694570,56685.859635,55949.200529,54413.810883,55193.802877,54992.363503,55892.984890,56262.485602,54872.905270,55372.990227,55832.084614,56393.069848,56910.722192,56874.416258,55249.432937,53204.003480,54420.837838,54388.630961,53014.861277,53921.338460,51670.370572,51492.939961,50476.959397,52880.763554,53701.160540,53677.151777,52513.019581,51475.958153,52411.128735,53222.742026,52591.487244,53062.293223,53370.308079,51619.425149,52685.765556,53841.114058,53242.651732,53476.883562,53788.411896,53537.783838,50472.274761,49960.478212,52136.491914,53493.279790,52489.596398,53051.752790,53650.215116,52966.258172,51036.773472,54227.010998,54146.201017,54247.506283,54020.301408,53502.649063,52839.187405,51036.187892,54568.403891,54507.503615,54450.116816,54101.696969,54256.875557,54610.565620,55274.027279,57302.474928,56392.484268,55782.310350,55233.036709,56684.688476,56582.797630,59594.433386,59911.231936,59941.682074,60869.825701,61037.301460,59832.764273,61433.153253,62675.167532,62626.564427,60620.368802,61210.047435,65013.972356,64635.687951,65658.109889,66142.969778,65191.988547,65188.475070
