bus,x,y
0,-48.88319871,-28.36270195
1707448,-48.88280453,-28.36265125
1707452,-48.88280453,-28.36265125
1707450,-48.88256102,-28.36250246
6327090,-48.87797667,-28.37937248
2237228,-48.87775601,-28.37920220
6327206,-48.87835244,-28.37949546
2237229,-48.87736376,-28.37893378
2237230,-48.87697002,-28.37865821
2237231,-48.87656640,-28.37837662
1707276,-48.87616296,-28.37810143
1705406,-48.87672818,-28.51283488
1705404,-48.87680954,-28.51258792
1678105,-49.01190547,-28.46800271
1652206,-49.01205609,-28.46787723
1678103,-49.01199685,-28.46819409
2554307,-49.01469782,-28.46733840
2554305,-49.01465957,-28.46730896
2554304,-49.01462964,-28.46742412
2554306,-49.01469782,-28.46733840
1678109,-49.01053111,-28.46781017
6133672,-49.01030874,-28.46773725
2227001,-49.01111821,-28.46793904
2669992,-49.01407237,-28.46687366
2227013,-49.01391587,-28.46680036
2669993,-49.01382380,-28.46687995
2227012,-49.01416556,-28.46695253
2227011,-49.01444124,-28.46712350
2227020,-49.01239526,-28.46831668
2227021,-49.01218730,-28.46825931
2227019,-49.01260026,-28.46811240
2227018,-49.01279169,-28.46791812
2227017,-49.01304259,-28.46767282
2227015,-49.01347042,-28.46724341
2227016,-49.01324424,-28.46746696
2227014,-49.01369989,-28.46700808
1694169,-49.01205609,-28.46787723
2221653,-49.01233661,-28.46759356
2221654,-49.01262841,-28.46731773
2221655,-49.01288868,-28.46706806
2221656,-49.01313821,-28.46683023
2221657,-49.01340296,-28.46656733
2221658,-49.01365885,-28.46630310
1652207,-49.01391422,-28.46605335
1652198,-49.01415225,-28.46579649
2222267,-49.00991635,-28.46762033
2725790,-49.00957650,-28.46752260
2222268,-49.00929836,-28.46743948
2222269,-49.00866442,-28.46727634
1655575,-49.00834568,-28.46717440
1655574,-49.00720095,-28.46703905
2222312,-49.00712399,-28.46706436
2542910,-49.00690429,-28.46701792
1655588,-49.00659871,-28.46700406
1705542,-48.85348819,-28.53212433
1705540,-48.85359898,-28.53202187
2542913,-49.00690429,-28.46701792
2542911,-49.00691391,-28.46682631
1655573,-49.01447577,-28.46764472
2564119,-49.01312669,-28.46769129
1705530,-48.85568989,-28.53331147
1705528,-48.85570042,-28.53312468
1720309,-48.89338640,-28.41388967
1720307,-48.89321805,-28.41396990
