# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,tipo,cod_id,poste,idx,bus,fases_ligadas,tip_cc,classe,curva,curva_origem,fas_con,car_inst_kw,kw_pico,kvar_pico,kv,clas_sub,classe_consumo,tip_edificacao,gru_tar,gru_ten,ten_forn,cnae,cep,are_loc,mun,uni_tr_mt,ceg_gd,ene_01,ene_02,ene_03,ene_04,ene_05,ene_06,ene_07,ene_08,ene_09,ene_10,ene_11,ene_12
ucbt_com_13610584_0,unidade consumidora BT,24fd8e16b96e48167132c827f82e289a6ad5754eab146338d750c259144eada1,13610584,0,BT_6531952,1,COM-Tipo7,COM,COM_Tipo7,catalogo,AN,8.0000,0.1688,0.0492,0.2194,,,,,BT,10,,,UB,4218707,7449833,,0.0,0.0,0.0,0.0,0.0,5.76,0.0,0.0,0.0,34.3068,137.31,122.602
ucbt_com_13610584_1,unidade consumidora BT,24fd8e16b96e48167132c827f82e289a6ad5754eab146338d750c259144eada1,13610584,1,BT_6531952,1,COM-Tipo7,COM,COM_Tipo7,catalogo,AN,8.0000,0.0022,0.0007,0.2194,,,,,BT,10,,,UB,4218707,7449833,,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_com_13610584_2,unidade consumidora BT,a5676fbf1356e939102608766e9e54fb51084d3da1acaf8ba5ad13c805b5dfef,13610584,2,BT_6531952,123,COM-Tipo3,COM,COM_Tipo3,catalogo,ABCN,25.0000,15.2662,4.4526,0.3800,,,,,BT,10,,,UB,4218707,7449833,,0.0,0.0,0.0,0.0,5467.675,5148.48,5161.464,5317.83,5444.711,6277.1048,6721.225,6401.279
ucbt_com_13610584_3,unidade consumidora BT,a5676fbf1356e939102608766e9e54fb51084d3da1acaf8ba5ad13c805b5dfef,13610584,3,BT_6531952,123,COM-Tipo3,COM,COM_Tipo3,catalogo,ABCN,25.0000,18.9174,5.5176,0.3800,,,,,BT,10,,,UB,4218707,7449833,,8314.02,7116.12,7111.104,5922.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_com_13610584_4,unidade consumidora BT,0ecab1ea1d352b971b5b4a5ff1d2cd9ea43aa412dc5c4d719c355ab2a3b356fa,13610584,4,BT_6531952,2,COM-Tipo6,COM,COM_Tipo6,catalogo,BN,11.0000,0.4577,0.1335,0.2194,,,,,BT,10,,,UB,4218707,7449833,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.463
ucbt_res_1444345_0,unidade consumidora BT,f55a3f343fb299f9a8f2d6d077e99a0960535c57bc6e597b68994cd0da1eabfa,1444345,0,BT_2735313,1,RES-Tipo5,RES,RES_Tipo5,catalogo,AN,8.0000,1.0847,0.2203,0.2194,,,,,BT,10,,,UB,4218707,7449457,,471.24,444.51,454.804,394.695,397.75,346.56,448.644,388.125,319.61,353.464,381.085,407.288
ucbt_res_1444345_1,unidade consumidora BT,f30b4208b52652568b3d12cfc6a158b2eb14b160eff03bc38b090fda60a6717d,1444345,1,BT_2735313,2,RES-Tipo9,RES,RES_Tipo9,catalogo,BN,12.0000,0.5072,0.1030,0.2194,,,,,BT,10,,,UB,4218707,7449457,,97.02,123.75,123.284,92.185,125.8,109.44,215.061,132.48,150.526,140.346,135.32,93.51
ucbt_res_1444345_2,unidade consumidora BT,41b4520104fa398b540b5d7cc883ec3527dbc2561b4afa9448547b324adbfdaf,1444345,2,BT_2735313,1,RES-Tipo8,RES,RES_Tipo8,catalogo,AN,13.0000,0.2814,0.0571,0.2194,,,,,BT,10,,,UB,4218707,7449457,,164.34,164.34,170.94,168.26,145.225,116.16,116.277,141.795,103.1,150.742,202.98,204.683
ucbt_res_1444345_3,unidade consumidora BT,a5bac8da81b1245b2a01f40e7442872149671371569f15642de781d81d5d55f1,1444345,3,BT_2735313,1,RES-Tipo2,RES,RES_Tipo2,catalogo,AN,12.0000,0.5211,0.1058,0.2194,,,,,BT,10,,,UB,4218707,7449457,,0.0,0.0,0.0,291.77,291.375,0.0,0.0,0.0,15.465,87.3264,88.555,75.847
ucbt_res_1444345_4,unidade consumidora BT,a5bac8da81b1245b2a01f40e7442872149671371569f15642de781d81d5d55f1,1444345,4,BT_2735313,1,RES-Tipo2,RES,RES_Tipo2,catalogo,AN,12.0000,1.5024,0.3051,0.2194,,,,,BT,10,,,UB,4218707,7449457,,538.56,413.82,273.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_res_1444345_5,unidade consumidora BT,8f3afbb9e7e43154d07826ff341371eaed16399e89eec449e31db4b6c1a38d0a,1444345,5,BT_2735313,3,RES-Tipo7,RES,RES_Tipo7,catalogo,CN,12.0000,1.2217,0.2481,0.2194,,,,,BT,10,,,UB,4218707,7449457,,134.64,0.0,0.0,246.125,194.25,140.16,147.147,130.41,145.371,182.9696,208.95,229.619
ucbt_res_1444345_6,unidade consumidora BT,28d934da0a60ce5c577d9a8d3b7e44c4909359f2b2c5f4cc660ee452155756cf,1444345,6,BT_2735313,1,RES-Tipo8,RES,RES_Tipo8,catalogo,AN,12.0000,0.2655,0.0539,0.2194,,,,,BT,10,,,UB,4218707,7449457,,0.0,0.0,0.0,0.0,0.0,111.36,154.35,168.705,151.557,154.9004,158.205,118.446
ucbt_res_1444345_7,unidade consumidora BT,28d934da0a60ce5c577d9a8d3b7e44c4909359f2b2c5f4cc660ee452155756cf,1444345,7,BT_2735313,1,RES-Tipo8,RES,RES_Tipo8,catalogo,AN,12.0000,0.2481,0.0504,0.2194,,,,,BT,10,,,UB,4218707,7449457,,126.72,147.51,147.112,121.72,135.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_com_1444345_8,unidade consumidora BT,0ed36f1bb26a0881f251c67394dc30adae8988b7a3866e07ffad2f67c1393173,1444345,8,BT_2735313,3,COM-Tipo4,COM,COM_Tipo4,catalogo,CN,8.0000,0.1359,0.0396,0.2194,,,,,BT,10,,,UB,4218707,7449457,,0.0,0.0,0.0,0.0,74.0,72.96,76.146,114.885,95.883,124.752,101.49,88.315
ucbt_com_1444345_9,unidade consumidora BT,0ed36f1bb26a0881f251c67394dc30adae8988b7a3866e07ffad2f67c1393173,1444345,9,BT_2735313,3,COM-Tipo4,COM,COM_Tipo4,catalogo,CN,8.0000,0.1118,0.0326,0.2194,,,,,BT,10,,,UB,4218707,7449457,,0.0,0.0,0.0,76.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_com_1444345_10,unidade consumidora BT,0ed36f1bb26a0881f251c67394dc30adae8988b7a3866e07ffad2f67c1393173,1444345,10,BT_2735313,3,COM-Tipo4,COM,COM_Tipo4,catalogo,CN,8.0000,0.1249,0.0364,0.2194,,,,,BT,10,,,UB,4218707,7449457,,78.21,79.2,100.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
