# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,cod_id,cnom_a,cmax_a,bit_fas,bit_neu,mat_fas,mat_neu,iso_fas,r1_ohm_km,x1_ohm_km
cnd_mt-32-3-3,MT-32-3-3,125.0000,150.0000,3,0,5,0,12,1.5040,0.4860
cnd_mt-41-3-3,MT-41-3-3,510.0000,612.0000,49,0,5,0,12,0.1870,0.4030
cnd_cmt34-3-3,CMT34-3-3,165.0000,198.0000,2,0,5,0,12,0.9480,0.4680
cnd_mt-34-3-7,MT-34-3-7,165.0000,198.0000,2,0,5,0,12,0.9480,0.4680
cnd_mt-5-3-3,MT-5-3-3,170.0000,204.0000,3,0,10,0,12,0.9340,0.4900
cnd_mt-34-3-3,MT-34-3-3,165.0000,198.0000,2,0,5,0,12,0.9480,0.4680
cnd_bt-32-32-32-32-7,BT-32-32-32-32-7,125.0000,150.0000,3,3,5,5,12,1.5040,0.4860
cnd_bt-3-3-3-3-7,BT-3-3-3-3-7,120.0000,144.0000,4,4,10,10,12,1.4850,0.5080
cnd_bt-61-61-61-61-4,BT-61-61-61-61-4,150.0000,180.0000,30,30,5,5,10,0.7767,0.1014
cnd_bt-7-7-7-3-7,BT-7-7-7-3-7,220.0000,264.0000,2,4,10,10,12,0.5990,0.4670
cnd_bt-34-34-34-34-7,BT-34-34-34-34-7,165.0000,198.0000,2,2,5,5,12,0.9480,0.4680
cnd_bt-149-149-149-149-4,BT-149-149-149-149-4,150.0000,180.0000,30,29,5,5,10,0.7767,0.1014
cnd_bt-201-0-0-201-4,BT-201-0-0-201-4,51.0000,61.2000,24,24,5,5,10,3.8720,0.1115
cnd_bt-148-148-148-148-4,BT-148-148-148-148-4,196.0000,235.2000,31,30,5,5,10,0.5544,0.0967
cnd_bt-32-0-0-32-7,BT-32-0-0-32-7,125.0000,150.0000,3,3,5,5,12,1.5040,0.4860
cnd_bt-140-140-140-140-4,BT-140-140-140-140-4,280.0000,336.0000,33,31,5,5,10,0.3236,0.0940
cnd_15505-1f,15505-1F,65.0000,65.0000,24,24,5,5,10,3.9489,0.1062
cnd_15527-2f,15527-2F,55.0000,55.0000,24,24,5,5,10,3.9489,0.1062
cnd_15528-3f,15528-3F,44.0000,44.0000,24,24,5,5,10,3.9489,0.1062
cnd_15541-3f,15541-3F,59.0000,59.0000,25,25,5,5,10,2.4489,0.1027
cnd_34172-1f,34172-1F,86.0000,86.0000,25,25,5,5,10,2.4489,0.1027
cnd_5366-1f,5366-1F,51.0000,51.0000,21,21,10,10,9,3.6900,0.1300
cnd_5368-3f,5368-3F,88.0000,88.0000,24,24,10,10,9,2.1900,0.3700
cnd_5387-3f,5387-3F,161.0000,161.0000,26,26,10,10,9,0.8700,0.3400
