# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,cod_id,familia,bus1,bus2,comp_m,fases,fas_con,tip_inst,tip_cnd,linecode,uni_tr_mt,p_n_ope,ligada_no_caso,pot_kvar,pot_kva,tip_unid,tip_regu,ten_reg,rel_tp,rel_tc,cor_nom,banc,mun
mt_5053837,5053837,cabo MT,1707448,1707448,39.0537,3,ABC,RD_AER_RUR,MT-34-3-7,CND_MT-34-3-7,,,,,,,,,,,,,
mt_5355187,5355187,cabo MT,1707452,1707450,29.0164,3,ABC,RD_AER_RUR,MT-34-3-7,CND_MT-34-3-7,,,,,,,,,,,,,
mt_5972602,5972602,cabo MT,6327090,2237228,28.7075,3,ABC,RD_AER_RUR,MT-5-3-3,CND_MT-5-3-3,,,,,,,,,,,,,
mt_13269627,13269627,cabo MT,6327206,6327090,39.2768,3,ABC,RD_AER_RUR,MT-5-3-3,CND_MT-5-3-3,,,,,,,,,,,,,
mt_5901096,5901096,cabo MT,2237228,2237229,48.6182,3,ABC,RD_AER_RUR,MT-5-3-3,CND_MT-5-3-3,,,,,,,,,,,,,
mt_5757742,5757742,cabo MT,2237229,2237230,49.2217,3,ABC,RD_AER_RUR,MT-5-3-3,CND_MT-5-3-3,,,,,,,,,,,,,
mt_5722050,5722050,cabo MT,2237230,2237231,50.3952,3,ABC,RD_AER_RUR,MT-5-3-3,CND_MT-5-3-3,,,,,,,,,,,,,
mt_5053940,5053940,cabo MT,2237231,1707276,49.9444,3,ABC,RD_AER_RUR,MT-5-3-3,CND_MT-5-3-3,,,,,,,,,,,,,
mt_5820853,5820853,cabo MT,1705406,1705404,28.5088,3,ABC,RD_AER_RUR,MT-34-3-3,CND_MT-34-3-3,,,,,,,,,,,,,
mt_6070743,6070743,cabo MT,1678105,1652206,20.2744,3,ABC,RD_AER_URB,MT-34-3-3,CND_MT-34-3-3,,,,,,,,,,,,,
mt_5247899,5247899,cabo MT,1678103,1678105,23.0220,3,ABC,RD_AER_URB,MT-34-3-3,CND_MT-34-3-3,,,,,,,,,,,,,
