# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,cod_id,pot_nom_kva,fases,tip_trafo,mrt,ten_lin_se_kv,tap,fas_con_p,fas_con_s,per_fer_w,per_tot_w,banc,mun,bus_primario,bus_secundario
tr_7483569,7483569,30.0000,3,T,,0.3800,1.0000,ABC,ABCN,200.0000,770.0000,0,4218707,2725790,BT_2725791
tr_7449457,7449457,45.0000,3,T,,0.3800,1.0000,ABC,ABCN,260.0000,1040.0000,0,4218707,1652207,BT_1694168
tr_7451915,7451915,45.0000,3,T,,0.3800,1.0000,ABC,ABCN,260.0000,1040.0000,0,4212650,1707276,BT_1707277
tr_7449834,7449834,75.0000,3,T,,0.3800,1.0000,ABC,ABCN,390.0000,1540.0000,0,4218707,1655574,BT_1655577
tr_7449833,7449833,112.5000,3,T,,0.3800,1.0000,ABC,ABCN,520.0000,2070.0000,0,4218707,1655575,BT_1655576
tr_7307903,7307903,1.0000,3,T,,0.3800,1.0000,ABC,ABCN,85.0000,300.0000,0,4212650,1707440,BT_1707441
tr_7308132,7308132,1.0000,3,T,,0.3800,1.0000,ABC,ABCN,85.0000,300.0000,0,4209409,1705528,BT_1705529
tr_7308133,7308133,1.0000,3,T,,0.3800,1.0000,ABC,ABCN,85.0000,300.0000,0,4209409,1705540,BT_1705541
tr_7307899,7307899,1.0000,3,T,,0.3800,1.0000,ABC,ABCN,85.0000,300.0000,0,4212650,1694801,BT_1694803
tr_7307942,7307942,1.0000,3,T,,0.3800,1.0000,ABC,ABCN,85.0000,300.0000,0,4212650,1720307,BT_1720308
tr_7307904,7307904,1.0000,3,T,,0.3800,1.0000,ABC,ABCN,85.0000,300.0000,0,4212650,1707450,BT_1707451
